date,deaths,temp,ozone,hum
01jan2002,199,-0.23,4.59,75.68
02jan2002,231,0.09,4.88,77.53
03jan2002,210,0.85,4.71,81.32
04jan2002,203,0.54,4.14,85.45
05jan2002,224,4.25,2.01,93.53
06jan2002,198,7.07,2.40,96.40
07jan2002,180,5.19,4.08,93.53
08jan2002,188,3.51,3.13,81.50
09jan2002,168,3.22,2.05,88.32
10jan2002,194,5.32,5.19,85.40
11jan2002,223,2.99,3.59,92.60
12jan2002,201,4.76,12.87,94.18
13jan2002,204,8.18,17.61,91.43
14jan2002,184,9.29,18.70,89.18
15jan2002,191,7.24,15.95,82.82
16jan2002,181,4.24,9.60,83.32
17jan2002,179,6.52,27.55,88.43
18jan2002,172,4.64,18.27,83.32
19jan2002,167,7.12,44.27,70.00
20jan2002,167,8.93,49.91,85.80
21jan2002,189,10.84,38.09,81.22
22jan2002,183,9.04,43.09,71.33
23jan2002,193,9.29,46.91,83.22
24jan2002,173,8.56,34.55,76.03
25jan2002,177,6.62,26.00,80.95
26jan2002,174,9.24,60.64,84.55
27jan2002,169,10.46,42.45,90.30
28jan2002,204,10.33,56.09,61.47
29jan2002,164,10.91,38.11,77.53
30jan2002,160,11.13,33.02,82.98
31jan2002,192,8.48,46.72,72.70
01feb2002,173,9.86,58.21,78.55
02feb2002,167,12.18,60.53,73.03
03feb2002,180,9.53,39.26,79.55
04feb2002,143,8.06,44.40,89.18
05feb2002,194,9.58,48.00,76.55
06feb2002,148,7.25,33.92,64.05
07feb2002,144,6.30,21.54,79.32
08feb2002,169,9.49,28.50,89.78
09feb2002,171,10.14,54.20,62.38
10feb2002,155,9.10,55.57,68.75
11feb2002,146,11.03,44.50,86.50
12feb2002,141,11.50,39.00,69.60
13feb2002,150,7.82,22.27,78.53
14feb2002,177,5.46,32.83,59.08
15feb2002,177,3.56,16.25,72.40
16feb2002,166,5.11,16.37,70.62
17feb2002,154,3.71,7.43,79.03
18feb2002,186,5.65,21.73,66.25
19feb2002,171,8.34,45.16,68.22
20feb2002,151,8.15,48.63,59.27
21feb2002,169,5.20,31.81,65.90
22feb2002,185,9.13,50.52,67.75
23feb2002,154,5.56,57.08,74.55
24feb2002,161,5.76,41.77,84.18
25feb2002,163,9.21,45.65,88.72
26feb2002,183,9.54,58.57,68.57
27feb2002,153,5.93,54.79,66.30
28feb2002,155,6.99,41.12,62.08
01mar2002,152,3.61,16.34,80.65
02mar2002,165,3.85,21.51,69.40
03mar2002,162,6.59,17.56,77.82
04mar2002,186,6.94,22.56,68.22
05mar2002,195,7.93,12.15,68.90
06mar2002,184,8.59,46.30,75.15
07mar2002,169,11.70,42.74,54.03
08mar2002,138,9.49,29.89,69.88
09mar2002,150,7.32,50.55,52.82
10mar2002,141,6.68,57.18,70.07
11mar2002,185,9.94,38.09,81.78
12mar2002,179,8.86,10.91,82.35
13mar2002,157,6.24,52.55,76.10
14mar2002,163,5.17,47.09,73.15
15mar2002,182,6.56,4.42,93.78
16mar2002,177,10.48,27.64,74.75
17mar2002,206,11.19,37.18,79.40
18mar2002,164,9.41,54.00,83.78
19mar2002,156,9.42,34.91,72.53
20mar2002,180,11.36,33.36,85.72
21mar2002,168,12.82,36.00,69.45
22mar2002,135,11.86,25.64,72.80
23mar2002,166,9.46,41.64,60.58
24mar2002,151,8.03,38.82,54.47
25mar2002,165,8.95,29.00,60.47
26mar2002,158,9.05,37.87,61.65
27mar2002,165,6.78,27.73,61.90
28mar2002,161,7.47,19.18,50.28
29mar2002,170,9.24,20.45,49.40
30mar2002,161,10.16,41.27,49.70
31mar2002,132,9.89,52.64,81.25
01apr2002,151,12.01,65.00,64.85
02apr2002,167,12.70,38.73,57.90
03apr2002,161,15.61,35.27,40.75
04apr2002,177,12.83,28.86,57.00
05apr2002,154,11.02,29.89,61.45
06apr2002,160,8.92,70.45,41.10
07apr2002,135,8.01,75.91,56.50
08apr2002,180,9.19,62.55,56.58
09apr2002,171,6.50,53.18,69.97
10apr2002,158,8.56,81.18,45.42
11apr2002,162,8.08,59.45,48.78
12apr2002,143,7.68,71.82,49.40
13apr2002,127,7.18,57.18,57.40
14apr2002,147,6.88,36.00,55.30
15apr2002,153,8.68,17.55,69.62
16apr2002,146,9.05,35.09,45.60
17apr2002,150,9.52,47.55,53.75
18apr2002,134,9.12,40.91,60.70
19apr2002,150,9.59,24.00,63.62
20apr2002,152,10.30,31.64,52.60
21apr2002,178,12.89,58.55,49.82
22apr2002,147,14.34,51.91,56.95
23apr2002,174,15.29,35.73,60.53
24apr2002,151,15.73,22.19,68.05
25apr2002,143,13.16,37.63,54.50
26apr2002,153,11.36,47.45,85.38
27apr2002,161,9.71,54.38,49.45
28apr2002,140,11.16,71.36,67.88
29apr2002,151,10.01,60.96,56.05
30apr2002,145,9.86,54.36,88.57
01may2002,127,10.78,45.03,51.45
02may2002,154,10.19,25.73,55.70
03may2002,161,10.48,35.45,57.28
04may2002,139,9.10,55.00,58.65
05may2002,143,7.63,63.45,54.47
06may2002,157,10.74,56.45,75.47
07may2002,147,12.64,33.36,76.22
08may2002,147,11.36,45.18,75.35
09may2002,142,10.46,47.18,81.93
10may2002,151,13.10,31.55,77.05
11may2002,155,13.76,43.27,66.92
12may2002,133,12.96,39.45,72.00
13may2002,136,12.21,49.64,88.22
14may2002,160,13.23,67.64,58.53
15may2002,165,14.73,53.18,61.08
16may2002,149,16.66,43.00,51.22
17may2002,139,18.49,61.82,55.35
18may2002,152,15.08,53.82,73.12
19may2002,124,15.04,66.45,60.17
20may2002,160,15.64,48.27,64.00
21may2002,154,15.37,62.44,66.85
22may2002,142,15.14,62.96,61.60
23may2002,149,14.50,62.16,56.85
24may2002,155,13.91,63.66,75.43
25may2002,146,12.77,67.83,50.92
26may2002,138,11.02,65.44,76.57
27may2002,155,11.61,47.42,63.03
28may2002,172,12.30,48.00,77.35
29may2002,147,13.00,52.73,53.88
30may2002,133,13.14,48.55,61.72
31may2002,161,14.06,43.45,54.05
01jun2002,143,15.74,54.45,43.95
02jun2002,148,18.26,71.18,43.22
03jun2002,144,16.02,65.64,68.60
04jun2002,155,12.73,48.55,64.93
05jun2002,157,12.35,21.17,89.78
06jun2002,171,14.72,14.80,88.15
07jun2002,145,14.42,23.73,90.03
08jun2002,133,13.88,29.98,75.53
09jun2002,121,13.43,44.02,80.50
10jun2002,162,12.99,41.51,69.35
11jun2002,148,13.38,42.11,55.10
12jun2002,155,14.31,34.28,68.65
13jun2002,131,15.18,36.37,69.62
14jun2002,150,17.93,26.81,75.53
15jun2002,162,17.04,51.68,61.88
16jun2002,168,17.83,37.46,84.10
17jun2002,164,20.70,33.79,60.78
18jun2002,156,18.76,39.36,63.05
19jun2002,148,16.15,49.60,47.22
20jun2002,135,17.64,39.44,57.10
21jun2002,128,16.67,45.30,56.67
22jun2002,136,15.97,49.59,61.00
23jun2002,148,15.59,51.81,52.20
24jun2002,150,15.38,45.23,47.65
25jun2002,141,15.19,31.69,56.05
26jun2002,150,16.92,41.54,50.00
27jun2002,144,14.87,45.42,49.38
28jun2002,133,13.44,39.73,48.42
29jun2002,148,13.84,46.18,48.20
30jun2002,159,15.10,41.27,63.30
01jul2002,148,14.49,37.91,72.78
02jul2002,162,13.88,33.64,62.20
03jul2002,149,14.17,21.91,76.38
04jul2002,133,14.57,40.64,52.62
05jul2002,167,15.54,21.91,86.78
06jul2002,140,16.29,41.09,70.10
07jul2002,140,16.41,36.82,84.15
08jul2002,159,16.59,22.09,88.15
09jul2002,140,17.38,23.45,79.35
10jul2002,118,14.44,29.00,67.50
11jul2002,139,14.97,32.27,59.88
12jul2002,157,13.75,17.91,70.22
13jul2002,140,16.19,37.00,48.60
14jul2002,163,17.76,53.36,42.72
15jul2002,155,18.86,38.27,47.22
16jul2002,142,20.08,27.00,58.03
17jul2002,136,17.22,34.64,59.92
18jul2002,148,18.41,32.45,57.20
19jul2002,156,18.38,34.91,49.42
20jul2002,135,18.27,44.09,56.50
21jul2002,136,14.91,32.09,64.20
22jul2002,161,15.78,30.09,56.70
23jul2002,139,17.23,22.45,78.92
24jul2002,136,17.17,33.82,63.10
25jul2002,169,16.94,25.27,68.30
26jul2002,148,21.48,28.55,62.55
27jul2002,149,19.99,32.55,68.30
28jul2002,166,22.94,63.09,56.35
29jul2002,172,24.53,67.27,58.53
30jul2002,199,21.76,39.41,71.30
31jul2002,157,19.29,29.14,87.53
01aug2002,123,16.77,21.51,68.78
02aug2002,158,17.44,32.01,56.97
03aug2002,141,16.92,26.61,74.35
04aug2002,153,17.01,37.82,82.00
05aug2002,144,16.31,35.27,82.78
06aug2002,156,18.92,35.36,71.03
07aug2002,138,20.34,31.49,56.75
08aug2002,139,17.56,14.10,80.72
09aug2002,127,16.92,21.46,78.47
10aug2002,137,17.99,24.46,72.47
11aug2002,115,17.64,29.83,72.67
12aug2002,140,18.26,23.26,64.68
13aug2002,158,18.79,13.97,67.55
14aug2002,151,20.01,28.83,63.07
15aug2002,154,22.27,42.41,56.65
16aug2002,158,21.24,38.82,56.58
17aug2002,161,22.27,55.34,54.38
18aug2002,149,21.17,38.52,64.72
19aug2002,154,21.39,27.14,67.80
20aug2002,130,19.01,19.12,75.97
21aug2002,147,18.12,27.92,55.70
22aug2002,158,18.19,24.17,54.97
23aug2002,117,18.00,26.15,60.83
24aug2002,144,18.39,26.64,57.40
25aug2002,129,17.91,35.00,70.28
26aug2002,139,14.74,34.45,79.68
27aug2002,152,17.36,42.82,74.10
28aug2002,127,18.48,44.82,64.28
29aug2002,134,18.38,10.91,75.50
30aug2002,124,18.88,14.09,77.07
31aug2002,125,16.59,34.45,50.30
01sep2002,137,14.53,35.64,52.95
02sep2002,136,15.71,31.00,54.90
03sep2002,141,18.60,30.95,61.92
04sep2002,169,16.20,29.52,60.30
05sep2002,169,16.91,35.36,65.95
06sep2002,167,18.53,42.64,65.71
07sep2002,142,16.59,38.64,66.35
08sep2002,138,15.35,24.45,66.07
09sep2002,168,13.52,16.55,90.67
10sep2002,140,14.95,24.27,59.67
11sep2002,153,15.21,27.64,58.30
12sep2002,140,18.24,37.73,67.88
13sep2002,148,18.42,42.69,57.02
14sep2002,152,16.13,63.60,65.88
15sep2002,137,15.83,66.22,58.22
16sep2002,126,13.48,42.90,61.00
17sep2002,132,14.43,34.91,68.82
18sep2002,142,14.38,31.05,64.47
19sep2002,144,15.56,25.62,62.70
20sep2002,154,15.39,24.91,58.97
21sep2002,128,15.24,26.36,56.35
22sep2002,146,14.32,43.82,66.65
23sep2002,165,14.02,38.55,54.62
24sep2002,131,12.53,29.91,53.42
25sep2002,145,12.76,21.55,62.60
26sep2002,141,14.09,27.42,59.32
27sep2002,149,11.97,4.45,76.78
28sep2002,132,13.43,13.19,66.57
29sep2002,153,14.36,21.64,61.45
30sep2002,158,14.73,15.07,57.95
01oct2002,165,15.36,9.41,64.97
02oct2002,159,16.72,15.06,77.22
03oct2002,161,16.38,21.65,65.50
04oct2002,140,12.58,10.92,61.28
05oct2002,128,13.02,17.45,75.00
06oct2002,132,14.53,35.55,61.78
07oct2002,135,13.59,11.36,59.80
08oct2002,145,13.25,16.36,62.03
09oct2002,127,11.55,12.09,68.80
10oct2002,161,12.56,11.64,74.45
11oct2002,148,11.62,11.09,68.95
12oct2002,158,11.72,10.82,77.05
13oct2002,164,8.09,15.18,85.22
14oct2002,146,10.09,10.00,90.68
15oct2002,152,11.00,20.55,89.62
16oct2002,155,9.81,15.00,74.43
17oct2002,167,7.40,9.18,69.12
18oct2002,140,6.49,6.91,76.90
19oct2002,148,6.15,12.64,64.80
20oct2002,153,7.51,11.27,74.78
21oct2002,181,11.78,18.09,84.20
22oct2002,174,14.14,34.18,89.88
23oct2002,151,10.22,37.18,55.85
24oct2002,160,7.39,19.00,68.85
25oct2002,170,11.98,43.73,78.80
26oct2002,165,11.98,48.18,50.67
27oct2002,163,12.12,58.27,50.38
28oct2002,169,9.31,26.73,60.85
29oct2002,163,10.93,19.18,67.65
30oct2002,148,10.69,5.74,89.15
31oct2002,167,11.60,2.96,81.72
01nov2002,155,12.76,17.54,91.95
02nov2002,147,12.57,16.75,93.80
03nov2002,150,11.98,40.56,68.88
04nov2002,138,10.19,15.18,71.75
05nov2002,171,10.42,14.18,88.25
06nov2002,143,11.61,25.45,91.15
07nov2002,157,7.68,22.18,64.15
08nov2002,153,9.05,21.82,92.12
09nov2002,144,10.14,15.73,76.65
10nov2002,162,11.16,16.91,91.47
11nov2002,142,10.56,27.64,70.82
12nov2002,167,10.74,32.55,81.93
13nov2002,142,10.17,26.45,79.47
14nov2002,168,10.82,41.09,74.62
15nov2002,145,10.41,14.73,80.65
16nov2002,163,8.60,3.00,91.60
17nov2002,134,7.67,2.00,93.70
18nov2002,158,6.03,3.00,84.47
19nov2002,154,7.37,9.36,83.65
20nov2002,146,8.99,12.64,86.50
21nov2002,190,9.95,16.91,89.22
22nov2002,142,9.54,34.55,85.88
23nov2002,171,9.12,23.91,82.35
24nov2002,139,8.16,13.55,86.22
25nov2002,152,6.49,2.64,94.85
26nov2002,146,8.35,9.91,85.32
27nov2002,166,9.04,26.73,76.75
28nov2002,159,10.59,20.55,83.18
29nov2002,167,8.27,8.55,89.35
30nov2002,155,8.99,11.18,86.72
01dec2002,153,9.66,46.00,77.53
02dec2002,165,9.04,38.73,64.18
03dec2002,145,8.37,11.73,84.03
04dec2002,169,7.57,8.18,84.82
05dec2002,158,6.03,13.73,76.75
06dec2002,147,6.51,13.00,86.55
07dec2002,153,4.83,22.36,88.47
08dec2002,165,3.44,12.45,89.72
09dec2002,173,3.54,14.73,69.22
10dec2002,168,1.82,12.09,79.43
11dec2002,184,2.32,4.82,81.03
12dec2002,185,3.74,2.09,88.95
13dec2002,174,5.26,2.18,95.10
14dec2002,171,6.53,2.73,91.75
15dec2002,180,6.55,2.73,94.28
16dec2002,194,6.00,4.27,90.60
17dec2002,195,4.14,11.27,83.53
18dec2002,159,3.39,10.91,73.35
19dec2002,196,3.96,5.00,78.00
20dec2002,181,3.69,2.00,92.75
21dec2002,189,7.33,2.55,95.55
22dec2002,192,9.98,23.82,85.28
23dec2002,197,10.18,16.45,93.60
24dec2002,187,11.53,39.91,83.93
25dec2002,179,10.33,41.36,85.95
26dec2002,180,10.59,52.64,85.57
27dec2002,168,10.86,37.64,84.53
28dec2002,180,8.45,15.45,76.72
29dec2002,184,9.40,32.00,93.40
30dec2002,177,9.62,27.55,92.43
31dec2002,164,5.90,15.55,81.18
01jan2003,154,7.95,33.00,93.07
02jan2003,169,9.42,40.91,87.62
03jan2003,173,5.83,24.00,83.88
04jan2003,169,2.03,28.18,75.40
05jan2003,162,0.99,7.91,86.93
06jan2003,181,1.15,19.73,70.82
07jan2003,181,-0.46,18.82,79.30
08jan2003,173,-1.40,7.39,86.43
09jan2003,202,0.33,25.82,83.38
10jan2003,190,2.24,16.91,86.68
11jan2003,194,0.66,10.00,81.35
12jan2003,176,0.48,6.64,78.77
13jan2003,175,5.97,28.88,83.68
14jan2003,195,9.01,44.29,73.37
15jan2003,179,8.52,35.87,75.87
16jan2003,197,6.33,24.72,80.23
17jan2003,178,6.21,32.35,88.57
18jan2003,152,5.88,27.45,82.25
19jan2003,188,7.23,37.00,85.30
20jan2003,191,7.52,49.09,89.72
21jan2003,211,7.99,40.64,82.25
22jan2003,184,7.06,20.73,81.07
23jan2003,177,5.98,21.09,70.53
24jan2003,192,4.71,11.27,77.10
25jan2003,192,8.51,34.82,72.00
26jan2003,174,8.88,16.36,89.88
27jan2003,162,11.24,16.55,78.38
28jan2003,161,7.40,46.82,71.72
29jan2003,155,4.93,42.64,58.58
30jan2003,157,1.54,38.27,75.16
31jan2003,163,0.26,24.91,74.27
01feb2003,179,3.34,20.31,85.25
02feb2003,176,4.94,45.36,77.62
03feb2003,168,4.94,37.55,60.03
04feb2003,195,2.50,29.60,66.15
05feb2003,168,1.60,19.42,71.47
06feb2003,170,1.97,11.27,81.28
07feb2003,157,6.78,11.64,85.53
08feb2003,192,9.20,32.55,83.07
09feb2003,161,7.68,34.64,88.40
10feb2003,176,5.78,14.55,85.98
11feb2003,157,5.83,14.18,91.72
12feb2003,167,6.07,7.27,93.80
13feb2003,167,2.25,14.45,63.80
14feb2003,177,1.16,8.55,72.75
15feb2003,161,1.21,25.00,75.85
16feb2003,168,2.03,26.73,65.82
17feb2003,163,1.67,26.64,69.55
18feb2003,200,1.02,8.55,62.92
19feb2003,180,1.39,8.36,56.45
20feb2003,191,4.95,10.27,68.12
21feb2003,163,6.47,8.64,67.72
22feb2003,199,4.85,5.71,69.20
23feb2003,164,7.65,25.25,73.45
24feb2003,163,9.04,13.05,74.00
25feb2003,173,8.10,15.13,56.60
26feb2003,152,9.80,12.65,57.00
27feb2003,177,10.07,22.53,60.10
28feb2003,184,9.08,40.09,89.25
01mar2003,153,8.18,36.25,89.65
02mar2003,192,8.14,31.28,69.00
03mar2003,183,5.69,20.38,70.70
04mar2003,162,9.77,34.11,82.97
05mar2003,163,10.44,34.04,74.35
06mar2003,167,7.71,26.38,66.97
07mar2003,151,7.52,45.74,85.22
08mar2003,163,8.11,63.45,76.25
09mar2003,176,10.70,76.09,68.03
10mar2003,179,10.24,56.55,73.15
11mar2003,158,10.20,51.82,68.93
12mar2003,184,7.23,44.27,73.32
13mar2003,148,6.64,57.73,59.03
14mar2003,170,6.33,34.00,48.75
15mar2003,161,6.42,25.39,56.00
16mar2003,144,7.85,19.72,50.78
17mar2003,158,8.12,21.16,52.55
18mar2003,138,7.87,47.59,60.62
19mar2003,191,7.88,10.55,63.15
20mar2003,184,8.23,19.00,51.17
21mar2003,160,6.60,17.09,71.62
22mar2003,155,6.98,16.55,61.90
23mar2003,163,10.12,31.64,47.55
24mar2003,177,11.82,49.55,60.53
25mar2003,190,11.28,28.27,64.20
26mar2003,177,10.94,23.36,60.92
27mar2003,169,10.77,26.55,51.53
28mar2003,167,9.11,25.09,73.50
29mar2003,137,11.29,9.18,66.22
30mar2003,146,11.61,38.73,52.62
31mar2003,171,8.57,39.55,44.03
01apr2003,175,7.84,43.88,79.18
02apr2003,156,7.71,46.91,54.36
03apr2003,167,7.74,32.36,51.58
04apr2003,165,12.54,31.82,57.70
05apr2003,135,11.74,58.09,45.33
06apr2003,143,8.15,55.00,65.00
07apr2003,162,5.06,41.92,46.78
08apr2003,168,4.05,34.83,43.42
09apr2003,158,3.61,33.82,54.65
10apr2003,189,3.99,36.32,73.05
11apr2003,179,4.56,22.49,61.12
12apr2003,177,7.35,35.06,46.53
13apr2003,156,11.26,40.19,50.30
14apr2003,165,14.46,16.33,49.88
15apr2003,165,16.63,19.79,43.08
16apr2003,168,16.99,39.90,34.70
17apr2003,154,15.44,54.45,38.80
18apr2003,160,14.83,85.00,37.42
19apr2003,143,8.13,74.73,60.62
20apr2003,146,10.36,73.64,58.83
21apr2003,155,12.24,64.36,60.53
22apr2003,149,11.49,55.09,54.07
23apr2003,186,11.96,48.74,39.72
24apr2003,181,10.85,38.36,70.60
25apr2003,172,14.01,35.07,62.70
26apr2003,151,12.18,59.16,66.80
27apr2003,155,13.00,88.18,57.47
28apr2003,169,12.33,52.73,89.30
29apr2003,151,12.75,68.00,61.20
30apr2003,136,13.09,62.27,62.50
01may2003,143,12.26,66.23,68.70
02may2003,154,11.75,52.55,72.53
03may2003,150,11.81,64.82,62.03
04may2003,157,15.26,68.91,43.62
05may2003,149,14.04,75.18,51.67
06may2003,148,11.27,35.73,46.20
07may2003,132,12.64,45.82,43.08
08may2003,142,11.51,34.64,61.65
09may2003,142,12.93,41.09,50.60
10may2003,132,10.57,53.91,57.75
11may2003,146,10.68,53.45,68.22
12may2003,156,10.55,51.45,74.53
13may2003,148,8.55,37.18,60.43
14may2003,167,10.13,39.00,50.90
15may2003,159,10.24,38.45,47.05
16may2003,151,10.54,43.64,85.66
17may2003,143,13.10,51.73,86.55
18may2003,128,13.41,65.82,72.62
19may2003,148,12.91,58.66,65.95
20may2003,135,11.27,60.86,65.07
21may2003,154,13.26,44.81,66.53
22may2003,152,15.56,36.25,77.80
23may2003,154,14.59,60.49,64.68
24may2003,151,13.36,54.22,56.97
25may2003,153,13.52,56.46,56.08
26may2003,129,13.49,49.19,51.60
27may2003,159,14.23,33.92,73.75
28may2003,154,17.49,48.37,50.28
29may2003,143,17.91,61.45,52.08
30may2003,141,19.04,67.88,47.62
31may2003,149,20.86,74.87,49.95
01jun2003,172,18.61,57.78,74.85
02jun2003,158,18.01,48.78,66.40
03jun2003,163,16.07,38.37,58.62
04jun2003,134,17.26,36.61,70.15
05jun2003,121,15.84,57.45,54.60
06jun2003,136,15.07,42.49,73.95
07jun2003,159,18.62,50.48,68.68
08jun2003,133,16.51,53.53,75.62
09jun2003,135,15.35,56.15,50.42
10jun2003,147,18.27,51.09,67.15
11jun2003,120,17.16,59.44,56.40
12jun2003,132,17.23,47.45,49.78
13jun2003,135,16.64,48.18,42.15
14jun2003,140,19.46,73.55,41.22
15jun2003,133,18.39,91.72,40.03
16jun2003,142,20.59,100.41,46.15
17jun2003,136,19.43,52.68,63.78
18jun2003,148,17.06,41.00,63.53
19jun2003,128,19.72,32.16,66.25
20jun2003,130,16.85,50.85,45.15
21jun2003,141,17.51,68.81,42.55
22jun2003,145,20.02,56.29,69.00
23jun2003,164,19.49,45.08,65.43
24jun2003,137,16.76,52.80,46.35
25jun2003,142,17.22,48.95,56.05
26jun2003,148,19.11,51.15,60.45
27jun2003,148,18.48,38.10,66.15
28jun2003,144,16.85,48.18,54.60
29jun2003,147,18.02,67.91,45.38
30jun2003,143,17.51,45.83,81.32
01jul2003,127,16.41,45.36,70.78
02jul2003,132,16.93,35.00,70.10
03jul2003,129,16.08,24.18,70.85
04jul2003,132,16.31,41.27,57.67
05jul2003,145,15.22,39.64,63.28
06jul2003,143,18.62,45.00,54.33
07jul2003,134,16.99,35.61,51.92
08jul2003,132,18.44,22.62,69.03
09jul2003,156,21.35,32.01,53.10
10jul2003,164,22.08,65.36,51.35
11jul2003,160,19.17,47.65,48.20
12jul2003,132,19.29,66.64,41.25
13jul2003,124,20.59,66.27,31.23
14jul2003,145,22.19,64.91,42.62
15jul2003,159,24.26,85.36,37.22
16jul2003,177,21.35,57.76,73.03
17jul2003,154,18.27,43.74,80.43
18jul2003,156,20.16,41.45,58.88
19jul2003,153,21.73,42.27,48.10
20jul2003,127,19.33,45.00,50.55
21jul2003,137,19.12,49.27,51.90
22jul2003,127,18.95,49.82,57.72
23jul2003,134,19.07,51.64,55.65
24jul2003,131,18.85,39.61,57.85
25jul2003,129,17.77,36.18,85.95
26jul2003,124,16.17,30.55,64.47
27jul2003,126,18.73,42.82,60.78
28jul2003,146,17.15,41.91,62.95
29jul2003,132,18.36,32.91,76.53
30jul2003,141,19.83,30.64,64.95
31jul2003,141,18.46,36.00,66.45
01aug2003,141,16.77,37.27,84.57
02aug2003,149,18.51,46.09,49.35
03aug2003,127,20.66,53.09,41.42
04aug2003,138,23.09,47.64,49.67
05aug2003,164,24.48,64.09,49.53
06aug2003,200,27.44,89.00,41.67
07aug2003,163,23.44,79.64,58.00
08aug2003,183,23.96,81.82,56.90
09aug2003,191,26.27,88.07,46.50
10aug2003,280,28.17,93.79,31.42
11aug2003,275,26.52,119.25,54.60
12aug2003,254,24.21,90.24,60.75
13aug2003,236,22.69,54.12,43.42
14aug2003,166,20.11,50.10,38.95
15aug2003,158,18.23,44.59,43.05
16aug2003,157,18.66,48.39,52.97
17aug2003,143,20.25,51.78,52.72
18aug2003,166,20.53,39.12,63.17
19aug2003,134,16.96,35.34,48.92
20aug2003,142,16.61,35.34,44.78
21aug2003,153,17.92,39.61,52.25
22aug2003,171,21.23,30.24,65.03
23aug2003,124,22.04,24.47,62.62
24aug2003,156,21.48,40.63,62.85
25aug2003,124,17.75,55.21,62.00
26aug2003,149,18.74,45.29,60.78
27aug2003,142,19.34,46.30,62.20
28aug2003,126,16.10,32.38,63.00
29aug2003,118,15.40,39.12,68.83
30aug2003,136,13.81,36.43,49.83
